study_id,site_id,latitude,longitude,sampling_year,sampling_start_month,sampling_end_month,old_site_id,year_copernicus
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_101,38.9972606,-122.0596218,2009,2,2,T&P2,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_102,38.8973999,-122.0648183,2009,2,2,T&P3,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_103,38.6997295,-122.1089041,2009,2,2,Taber,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_104,38.7796138,-122.168718,2009,3,3,Tim Mueller 1,2015
Alexandra_Maria_Klein_Prunus_dulcis_USA_2009,Plot_105,38.8082465,-122.1822281,2009,3,3,Tim Mueller 2,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_106,-3.232177212,37.268548,2011-2012,11,5,COF2,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_107,-3.247466484,37.32059835,2011-2012,9,3,COF3,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_108,-3.28085633,37.32214449,2011-2012,9,3,COF4,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_109,-3.274800858,37.47067258,2011-2012,10,4,COF5,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_110,-3.185998687,37.25462826,2011-2012,10,4,HOM1,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_111,-3.269033234,37.3091989,2011-2012,9,3,HOM2,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_112,-3.33711016,37.49247115,2011-2012,10,4,HOM4,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_113,-3.272943714,37.60442755,2011-2012,10,4,HOM5,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_114,-3.27816463,37.19449647,2011-2012,10,4,SUN1,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_115,-3.235175792,37.27169284,2011-2012,10,4,SUN2,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_116,-3.249207753,37.32902592,2011-2012,9,3,SUN3,2015
Alice_Classen_Coffea_arabica_Tanzania_2011_2012,Plot_117,-3.275414554,37.32344919,2011-2012,9,3,SUN4,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_123,39.6778333333333,2.56405555555555,2015,2,3,CanBeia,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_124,39.6903611111111,2.86172222222222,2015,2,3,Cooperativa,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_125,39.64775,2.76172222222222,2015,2,3,EsRafal,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_126,39.6452222222222,2.74675,2015,2,3,FestivalPark,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_127,39.74625,3.01677777777777,2015,3,3,SaCanova,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_128,39.7063055555555,3.08586111111111,2015,2,3,SaFillola,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_129,39.5815833333333,3.34894444444444,2015,2,2,SaMarineta,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_130,39.6796666666666,3.22822222222222,2015,2,2,SesCabanasses,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_131,39.4909444444444,3.25575,2015,2,3,Shospitalet,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_132,39.6169166666666,2.67766666666666,2015,2,3,Sindioteria,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_133,39.6229722222222,2.64733333333333,2015,2,3,SonBlai,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_134,39.6314444444444,2.74722222222222,2015,3,3,SonCos,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_135,39.4338333333333,2.94677777777777,2015,3,3,SonMarrano,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_136,39.4508611111111,3.09455555555555,2015,3,3,SonPinya,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_137,39.6161388888888,2.64680555555555,2015,2,3,SonPou,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_138,39.7208055555555,2.88797222222222,2015,3,3,SonPujol,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_139,39.6190277777777,3.31272222222222,2015,2,3,SonVives,2015
Amparo_Lazaro_Prunus_dulcis_Spain_2015,Plot_140,39.5814722222222,2.80502777777777,2015,3,3,Xorrigo,2015
Betina_Blochtein_Brassica_napus_Brazil_2011,Plot_170,-28.1429691314697,-54.3186988830566,2011,9,9,L 1 Snitowski,2015
Betina_Blochtein_Brassica_napus_Brazil_2011,Plot_171,-28.1548595428467,-54.3274116516113,2011,8,9,L2 Snitowski,2015
Betina_Blochtein_Brassica_napus_Brazil_2011,Plot_172,-28.1376895904541,-54.3471794128418,2011,7,9,L3 Karlec,2015
Betina_Blochtein_Brassica_napus_Brazil_2011,Plot_173,-28.0762805938721,-54.3076782226562,2011,7,8,L4 Rupp,2015
Betina_Blochtein_Brassica_napus_Brazil_2011,Plot_174,-28.0795192718506,-54.3138008117676,2011,8,9,L5 Sr. Rupp,2015
Betina_Blochtein_Brassica_napus_Brazil_2011,Plot_175,-28.1334209442139,-54.3103218078613,2011,9,10,L 6 Sr. Donadel,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_176,-9.30545347303786,-40.3058073553415,2005,3,6,13,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_177,-9.31097436775236,-40.2945665304858,2005,3,6,19,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_178,-9.33332180940364,-40.2962876678982,2005,3,6,43,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_179,-9.31478475420342,-40.2861412763026,2005,3,6,67,2015
Blande_Viana_Passiflora_edulis_Brazil_2005,Plot_180,-9.28694547489311,-40.2876781587062,2005,3,6,112,2015
